 cookie=0x0, duration=12.947s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=16.009s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=19.069s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=22.111s, table=0, n_packets=5, n_bytes=210, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=25.169s, table=0, n_packets=5, n_bytes=210, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=0.814s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=62:64:ce:ca:ed:36,dl_dst=aa:06:64:62:0d:8b,arp_spa=10.0.0.7,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=28.210s, table=0, n_packets=8, n_bytes=336, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=3.855s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=62:64:ce:ca:ed:36,dl_dst=aa:06:64:62:0d:8b,arp_spa=10.0.0.7,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=6.909s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=62:64:ce:ca:ed:36,dl_dst=aa:06:64:62:0d:8b,arp_spa=10.0.0.7,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=9.964s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=62:64:ce:ca:ed:36,dl_dst=aa:06:64:62:0d:8b,arp_spa=10.0.0.7,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=1.026s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=4.084s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=7.164s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=10.255s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=13.315s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=16.374s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=19.427s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=22.483s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=25.540s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=28.636s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=0.841s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=3.887s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=6.954s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=10.063s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=13.119s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=16.203s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=19.272s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=22.333s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=25.394s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=28.458s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=0.652s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=3.715s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=6.775s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=9.838s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=12.908s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=15.952s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=19.009s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=22.073s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=25.132s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=28.210s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=0.419s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=3.472s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=6.528s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=9.593s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=12.649s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=15.701s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=18.754s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=21.807s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=24.864s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=27.904s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=0.093s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=3.156s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=6.234s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=9.299s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=12.355s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=15.394s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=18.442s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=21.510s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=24.580s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=27.620s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=2.940s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=5.984s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=9.047s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=12.095s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=15.153s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=18.195s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=21.240s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=24.319s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
